VariableNames=MIPS,PEs,BW,RAM,TRANSFERT,SELECTION
1.0,1.0,0.0,0.0,0.04503978602652402,0.9000000000000006
0.95,1.0,0.25,0.14285714285714285,0.04503978602652402,0.7615044144093311
0.9,1.0,0.5,0.42857142857142855,0.04503978602652402,0.9000000000000006
0.85,1.0,1.0,1.0,0.04503978602652402,0.9000000000000006
0.8,1.0,0.25,0.14285714285714285,0.04503978602652402,0.6549946518499894
0.75,1.0,0.5,0.42857142857142855,0.04503978602652402,0.9000000000000006
0.7,1.0,1.0,1.0,0.04503978602652402,0.9000000000000006
0.65,1.0,0.25,0.14285714285714285,0.04503978602652402,0.6572129989469794
0.6,1.0,0.5,0.42857142857142855,0.04503978602652402,0.9000000000000006
0.55,1.0,1.0,1.0,0.04503978602652402,0.9000000000000006
0.5,1.0,0.25,0.14285714285714285,0.04503978602652402,0.6572129989469794
0.45,1.0,0.5,0.42857142857142855,0.04503978602652402,0.9000000000000006
0.4,1.0,1.0,1.0,0.04503978602652402,0.9000000000000006
0.35,1.0,0.25,0.14285714285714285,0.04503978602652402,0.6572129989469794
0.3,1.0,0.5,0.42857142857142855,0.04503978602652402,0.9000000000000006
0.25,1.0,1.0,1.0,0.04503978602652402,0.9000000000000006
0.2,1.0,0.25,0.14285714285714285,0.04503978602652402,0.6572129989469794
0.15,1.0,0.5,0.42857142857142855,0.04503978602652402,0.9000000000000006
0.1,1.0,1.0,1.0,0.04503978602652402,0.9000000000000006
0.05,1.0,0.25,0.14285714285714285,0.04503978602652402,0.6572129989469794
1.0,1.0,0.0,0.0,0.0028142578761719173,0.9000000000000002
0.95,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.7623132248392529
0.9,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.85,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.8,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6559217511014706
0.75,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.7,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.65,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6580865832646586
0.6,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.55,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.5,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6580865832646586
0.45,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.4,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.35,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6580865832646586
0.3,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.25,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.2,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6580865832646586
0.15,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.1,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.05,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6580865832646586
0.95,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.7623132248392529
0.9,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.85,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.8,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6559217511014706
0.75,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.7,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.65,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6580865832646586
0.6,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.55,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.5,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6580865832646586
0.45,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.4,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.35,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6580865832646586
0.3,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.25,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.2,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6580865832646586
0.15,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.1,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.05,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6580865832646586
0.95,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.7623132248392529
0.85,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.8,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6559217511014706
0.75,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.7,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.65,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6580865832646586
0.6,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.55,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.5,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6580865832646586
0.45,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.4,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.35,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6580865832646586
0.3,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.25,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.2,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6580865832646586
0.15,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
0.1,1.0,1.0,1.0,0.0028142578761719173,0.9000000000000002
0.05,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6580865832646586
0.95,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.7623132248392529
0.8,1.0,0.25,0.14285714285714285,0.0028142578761719173,0.6559217511014706
0.75,1.0,0.5,0.42857142857142855,0.0028142578761719173,0.9000000000000002
